order_id,product_id,product_category,seasonality_factor,day_of_week,holiday_event(yes/no),discount(%)
ORD009100,PROD7876,Electronics,Normal,Tuesday,No,11
ORD001837,PROD5728,Pharmaceuticals,Off-Peak,Tuesday,No,2
ORD000488,PROD5246,Groceries,Festival,Tuesday,No,16
ORD005362,PROD3960,Groceries,Normal,Tuesday,No,4
ORD001738,PROD4216,Groceries,Off-Peak,Tuesday,No,18
ORD000712,PROD4020,Electronics,Normal,Tuesday,No,8
ORD003642,PROD5885,Pharmaceuticals,Off-Peak,Tuesday,No,38
ORD002163,PROD5009,Electronics,Peak,Tuesday,No,20
ORD006230,PROD7974,Electronics,Festival,Tuesday,Yes,49
ORD011104,PROD9501,Clothing,Normal,Tuesday,No,5
ORD009564,PROD2633,Clothing,Festival,Tuesday,No,21
ORD008896,PROD1150,Furniture,Off-Peak,Tuesday,No,25
ORD004699,PROD8654,Pharmaceuticals,Festival,Tuesday,No,36
ORD004796,PROD7084,Pharmaceuticals,Peak,Tuesday,No,5
ORD011596,PROD7265,Electronics,Off-Peak,Tuesday,No,45
ORD006570,PROD2678,Clothing,Festival,Tuesday,No,1
ORD007367,PROD4083,Electronics,Off-Peak,Tuesday,Yes,29
ORD008458,PROD8242,Groceries,Peak,Tuesday,No,15
ORD009530,PROD3550,Electronics,Normal,Tuesday,No,22
ORD003326,PROD6052,Furniture,Off-Peak,Tuesday,No,40
ORD004842,PROD6316,Electronics,Normal,Tuesday,No,37
ORD011063,PROD1553,Clothing,Peak,Tuesday,No,19
ORD014889,PROD7110,Clothing,Off-Peak,Tuesday,No,24
ORD003079,PROD1509,Clothing,Peak,Tuesday,No,30
ORD006485,PROD5478,Groceries,Off-Peak,Tuesday,No,35
ORD007485,PROD8489,Groceries,Peak,Tuesday,No,29
ORD000291,PROD3170,Pharmaceuticals,Off-Peak,Tuesday,No,41
ORD008945,PROD7451,Pharmaceuticals,Peak,Tuesday,No,10
ORD013336,PROD6152,Groceries,Off-Peak,Tuesday,No,35
ORD009108,PROD5425,Groceries,Off-Peak,Tuesday,No,47
ORD003699,PROD9154,Electronics,Festival,Tuesday,No,49
ORD012755,PROD9646,Pharmaceuticals,Peak,Tuesday,No,35
ORD014579,PROD5952,Groceries,Normal,Tuesday,Yes,20
ORD007615,PROD3293,Pharmaceuticals,Peak,Tuesday,No,8
ORD002129,PROD6697,Pharmaceuticals,Normal,Tuesday,No,18
ORD013552,PROD8358,Electronics,Peak,Tuesday,No,42
ORD001247,PROD8957,Pharmaceuticals,Peak,Tuesday,No,4
ORD003461,PROD5087,Groceries,Peak,Tuesday,No,24
ORD011296,PROD3088,Groceries,Off-Peak,Tuesday,No,25
ORD011748,PROD1043,Clothing,Off-Peak,Tuesday,No,30
ORD005182,PROD7445,Electronics,Peak,Tuesday,No,29
ORD001484,PROD6727,Groceries,Off-Peak,Tuesday,No,21
ORD014446,PROD3698,Groceries,Festival,Tuesday,No,43
ORD013174,PROD7752,Electronics,Normal,Tuesday,No,20
ORD013349,PROD3969,Groceries,Festival,Tuesday,No,37
ORD006410,PROD9948,Groceries,Off-Peak,Tuesday,No,33
ORD010166,PROD2267,Clothing,Festival,Tuesday,No,4
ORD009304,PROD7899,Electronics,Peak,Tuesday,Yes,32
ORD003849,PROD2596,Groceries,Normal,Tuesday,Yes,39
ORD010525,PROD6473,Electronics,Peak,Tuesday,No,34
ORD000034,PROD7224,Furniture,Peak,Tuesday,No,40
ORD008959,PROD4573,Pharmaceuticals,Normal,Tuesday,No,28
ORD013152,PROD2615,Groceries,Festival,Tuesday,No,47
ORD000253,PROD8811,Furniture,Off-Peak,Tuesday,Yes,31
ORD004142,PROD4234,Groceries,Normal,Tuesday,Yes,4
ORD012430,PROD5725,Furniture,Normal,Tuesday,No,7
ORD009969,PROD5887,Furniture,Normal,Tuesday,No,8
ORD014510,PROD5190,Pharmaceuticals,Peak,Tuesday,No,19
ORD010672,PROD8555,Furniture,Off-Peak,Tuesday,No,47
ORD005277,PROD9027,Pharmaceuticals,Festival,Tuesday,No,29
ORD005742,PROD2175,Pharmaceuticals,Peak,Tuesday,No,2
ORD002730,PROD7786,Clothing,Normal,Tuesday,No,12
ORD012977,PROD7646,Electronics,Normal,Tuesday,Yes,48
ORD012078,PROD7974,Electronics,Festival,Tuesday,No,35
ORD004770,PROD5458,Furniture,Peak,Tuesday,Yes,24
ORD003190,PROD4584,Electronics,Festival,Tuesday,Yes,21
ORD005315,PROD3330,Groceries,Normal,Tuesday,No,7
ORD002977,PROD2129,Electronics,Peak,Tuesday,No,29
ORD004974,PROD7997,Furniture,Peak,Tuesday,No,34
ORD007405,PROD7548,Groceries,Peak,Tuesday,No,19
ORD014630,PROD7770,Groceries,Festival,Tuesday,No,41
ORD011153,PROD3084,Furniture,Off-Peak,Tuesday,No,30
ORD012672,PROD6614,Clothing,Off-Peak,Tuesday,Yes,28
ORD009547,PROD1344,Furniture,Peak,Tuesday,No,8
ORD014610,PROD5305,Electronics,Normal,Tuesday,No,40
ORD004187,PROD1305,Clothing,Festival,Tuesday,Yes,26
ORD003067,PROD4522,Groceries,Off-Peak,Tuesday,Yes,6
ORD005767,PROD5411,Electronics,Festival,Wednesday,No,12
ORD012992,PROD8984,Groceries,Peak,Wednesday,Yes,23
ORD014795,PROD8007,Electronics,Off-Peak,Wednesday,Yes,15
ORD011849,PROD4181,Clothing,Peak,Wednesday,Yes,33
ORD007054,PROD8397,Clothing,Normal,Wednesday,No,49
ORD013519,PROD7250,Furniture,Peak,Wednesday,No,2
ORD013380,PROD8401,Clothing,Normal,Wednesday,No,18
ORD004530,PROD8901,Pharmaceuticals,Peak,Wednesday,Yes,44
ORD001732,PROD4694,Groceries,Normal,Wednesday,No,46
ORD002850,PROD5842,Clothing,Normal,Wednesday,No,45
ORD007696,PROD1732,Groceries,Normal,Wednesday,Yes,6
ORD013594,PROD7076,Furniture,Festival,Wednesday,No,18
ORD006153,PROD8947,Electronics,Festival,Wednesday,No,29
ORD001637,PROD1510,Groceries,Peak,Wednesday,Yes,14
ORD007693,PROD9970,Electronics,Off-Peak,Wednesday,Yes,4
ORD001162,PROD2624,Pharmaceuticals,Off-Peak,Wednesday,No,4
ORD000001,PROD2824,Pharmaceuticals,Normal,Wednesday,No,41
ORD002696,PROD4882,Clothing,Off-Peak,Wednesday,No,15
ORD010585,PROD5487,Groceries,Peak,Wednesday,No,7
ORD011356,PROD8973,Electronics,Peak,Wednesday,No,18
ORD008315,PROD2709,Electronics,Festival,Wednesday,No,10
ORD010854,PROD2875,Groceries,Normal,Wednesday,No,45
ORD004788,PROD3468,Clothing,Festival,Wednesday,No,27
ORD003542,PROD5843,Electronics,Normal,Wednesday,No,43
ORD000125,PROD3927,Pharmaceuticals,Off-Peak,Wednesday,No,18
ORD008606,PROD5012,Pharmaceuticals,Off-Peak,Wednesday,No,22
ORD014114,PROD6361,Clothing,Normal,Wednesday,Yes,29
ORD011426,PROD8938,Clothing,Festival,Wednesday,No,27
ORD008310,PROD6387,Clothing,Festival,Wednesday,Yes,11
ORD006560,PROD3354,Electronics,Peak,Wednesday,No,34
ORD001572,PROD3209,Groceries,Normal,Wednesday,Yes,6
ORD010235,PROD6105,Electronics,Peak,Wednesday,Yes,16
ORD014253,PROD3689,Pharmaceuticals,Off-Peak,Wednesday,No,38
ORD005687,PROD2483,Furniture,Normal,Wednesday,No,6
ORD001394,PROD2548,Groceries,Festival,Wednesday,No,10
ORD008796,PROD1420,Pharmaceuticals,Normal,Wednesday,No,17
ORD007727,PROD2395,Clothing,Peak,Wednesday,No,24
ORD010704,PROD7433,Clothing,Normal,Wednesday,No,47
ORD007585,PROD6582,Clothing,Festival,Wednesday,No,19
ORD004131,PROD4183,Pharmaceuticals,Peak,Wednesday,No,8
ORD006129,PROD1869,Furniture,Festival,Wednesday,No,9
ORD012227,PROD5375,Groceries,Festival,Wednesday,No,25
ORD003895,PROD9259,Furniture,Peak,Wednesday,No,45
ORD010808,PROD4453,Clothing,Off-Peak,Wednesday,No,15
ORD002619,PROD5873,Furniture,Off-Peak,Wednesday,No,0
ORD004561,PROD2650,Electronics,Festival,Wednesday,Yes,18
ORD014272,PROD2952,Groceries,Peak,Wednesday,No,43
ORD003350,PROD2404,Groceries,Normal,Wednesday,Yes,48
ORD003126,PROD5835,Furniture,Normal,Wednesday,Yes,6
ORD001777,PROD6231,Electronics,Peak,Wednesday,No,33
ORD009285,PROD6795,Furniture,Peak,Wednesday,No,37
ORD006854,PROD9142,Electronics,Normal,Wednesday,No,35
ORD004678,PROD9584,Furniture,Off-Peak,Wednesday,No,38
ORD005369,PROD8514,Pharmaceuticals,Off-Peak,Wednesday,No,7
ORD004255,PROD6781,Clothing,Peak,Wednesday,No,22
ORD006241,PROD4571,Clothing,Peak,Wednesday,No,26
ORD002869,PROD8717,Clothing,Peak,Wednesday,No,40
ORD000909,PROD9617,Clothing,Festival,Wednesday,No,16
ORD000731,PROD7232,Clothing,Peak,Wednesday,No,37
ORD000114,PROD9797,Groceries,Peak,Wednesday,No,37
ORD011139,PROD8867,Electronics,Peak,Wednesday,No,28
ORD002982,PROD2415,Pharmaceuticals,Festival,Wednesday,No,11
ORD010562,PROD5933,Groceries,Off-Peak,Wednesday,No,16
ORD003512,PROD4575,Electronics,Off-Peak,Wednesday,No,47
ORD010828,PROD9306,Electronics,Peak,Wednesday,Yes,49
ORD003229,PROD1029,Clothing,Festival,Wednesday,Yes,48
ORD003854,PROD5783,Electronics,Off-Peak,Wednesday,No,5
ORD001983,PROD2465,Groceries,Festival,Wednesday,No,37
ORD010793,PROD1180,Electronics,Off-Peak,Wednesday,No,32
ORD007707,PROD8551,Pharmaceuticals,Peak,Wednesday,No,9
ORD012403,PROD3768,Furniture,Normal,Wednesday,No,47
ORD007960,PROD4696,Furniture,Festival,Wednesday,Yes,23
ORD008872,PROD2436,Furniture,Normal,Wednesday,No,23
ORD006516,PROD9078,Pharmaceuticals,Festival,Wednesday,Yes,19
ORD005189,PROD4869,Groceries,Off-Peak,Wednesday,No,39
ORD007079,PROD8027,Pharmaceuticals,Peak,Wednesday,No,15
ORD007953,PROD6181,Groceries,Normal,Wednesday,No,34
ORD014304,PROD9185,Groceries,Festival,Wednesday,No,38
ORD014614,PROD9308,Electronics,Normal,Wednesday,No,41
ORD000032,PROD2674,Pharmaceuticals,Festival,Wednesday,No,32
ORD004692,PROD9630,Pharmaceuticals,Off-Peak,Wednesday,No,40
ORD006608,PROD2273,Clothing,Normal,Wednesday,No,43
ORD014175,PROD7480,Pharmaceuticals,Festival,Wednesday,No,35
ORD008418,PROD4185,Furniture,Peak,Wednesday,No,14
ORD009414,PROD4441,Electronics,Festival,Wednesday,No,6
ORD005427,PROD1953,Pharmaceuticals,Festival,Wednesday,No,16
ORD008213,PROD7700,Groceries,Peak,Wednesday,No,4
ORD004982,PROD9747,Electronics,Normal,Wednesday,No,44
ORD014191,PROD9565,Pharmaceuticals,Peak,Wednesday,Yes,27
ORD000591,PROD2771,Clothing,Normal,Wednesday,No,23
ORD012434,PROD6942,Electronics,Normal,Wednesday,Yes,7
ORD008481,PROD2035,Groceries,Festival,Wednesday,No,23
ORD009425,PROD2226,Clothing,Off-Peak,Wednesday,No,26
ORD008969,PROD2573,Electronics,Festival,Wednesday,Yes,37
ORD010032,PROD9177,Pharmaceuticals,Normal,Wednesday,No,22
ORD008282,PROD3102,Clothing,Festival,Wednesday,No,1
ORD012291,PROD2812,Furniture,Festival,Wednesday,No,42
ORD014381,PROD4081,Clothing,Normal,Wednesday,No,35
ORD010475,PROD9676,Clothing,Peak,Wednesday,No,18
ORD008093,PROD7558,Electronics,Normal,Wednesday,Yes,33
ORD003130,PROD1999,Groceries,Normal,Wednesday,No,19
ORD011765,PROD6359,Clothing,Off-Peak,Wednesday,No,35
ORD014774,PROD9804,Pharmaceuticals,Peak,Wednesday,No,16
ORD009534,PROD7039,Pharmaceuticals,Off-Peak,Wednesday,No,8
ORD009396,PROD8059,Electronics,Peak,Wednesday,Yes,39
ORD006910,PROD2055,Electronics,Peak,Wednesday,No,49
ORD007279,PROD7922,Furniture,Festival,Wednesday,Yes,13
ORD005298,PROD7481,Furniture,Normal,Wednesday,No,35
ORD011823,PROD5492,Groceries,Normal,Wednesday,No,34
ORD006594,PROD5991,Groceries,Festival,Wednesday,No,10
ORD009546,PROD5621,Clothing,Peak,Wednesday,No,22
ORD011613,PROD6446,Electronics,Peak,Wednesday,No,26
ORD003842,PROD4652,Clothing,Off-Peak,Wednesday,No,43
ORD000893,PROD4826,Pharmaceuticals,Normal,Wednesday,No,21
ORD012937,PROD3126,Electronics,Festival,Wednesday,No,8
ORD007821,PROD9854,Pharmaceuticals,Off-Peak,Wednesday,No,40
ORD002751,PROD4470,Pharmaceuticals,Normal,Wednesday,No,4
ORD010438,PROD2805,Pharmaceuticals,Peak,Wednesday,No,1
ORD012160,PROD2829,Pharmaceuticals,Peak,Wednesday,No,24
ORD004283,PROD7732,Electronics,Festival,Wednesday,No,43
ORD005913,PROD1931,Electronics,Peak,Wednesday,Yes,21
ORD013265,PROD1340,Groceries,Peak,Wednesday,No,36
ORD006052,PROD6035,Groceries,Festival,Wednesday,No,3
ORD002726,PROD7434,Furniture,Peak,Wednesday,No,34
ORD007377,PROD5930,Electronics,Festival,Wednesday,No,32
ORD012308,PROD7425,Electronics,Off-Peak,Wednesday,Yes,35
ORD006839,PROD7394,Pharmaceuticals,Festival,Wednesday,No,0
ORD012829,PROD7801,Furniture,Peak,Wednesday,Yes,39
ORD010333,PROD6665,Furniture,Peak,Wednesday,No,27
ORD009167,PROD9228,Pharmaceuticals,Off-Peak,Wednesday,Yes,4
ORD005589,PROD3806,Electronics,Peak,Wednesday,No,44
ORD008666,PROD3039,Clothing,Peak,Wednesday,Yes,43
ORD008888,PROD7941,Clothing,Off-Peak,Wednesday,No,1
ORD006194,PROD5597,Clothing,Festival,Wednesday,No,47
ORD013289,PROD9819,Furniture,Festival,Wednesday,No,4
ORD006790,PROD9301,Pharmaceuticals,Off-Peak,Wednesday,Yes,6
ORD006003,PROD7294,Furniture,Peak,Wednesday,No,30
ORD001833,PROD7563,Furniture,Normal,Wednesday,Yes,18
ORD007451,PROD9063,Furniture,Off-Peak,Wednesday,No,48
ORD006193,PROD1977,Clothing,Festival,Wednesday,Yes,31
ORD010901,PROD8190,Pharmaceuticals,Festival,Wednesday,Yes,8
ORD011161,PROD4018,Furniture,Festival,Wednesday,No,24
ORD002733,PROD2237,Electronics,Festival,Wednesday,No,11
ORD014543,PROD3103,Groceries,Festival,Wednesday,Yes,49
ORD007662,PROD1534,Pharmaceuticals,Off-Peak,Wednesday,No,13
ORD013779,PROD5968,Clothing,Off-Peak,Wednesday,No,35
ORD004747,PROD5094,Clothing,Festival,Wednesday,No,29
ORD013136,PROD2361,Clothing,Peak,Wednesday,Yes,36
ORD000270,PROD9565,Furniture,Festival,Wednesday,Yes,8
ORD007687,PROD5644,Groceries,Festival,Wednesday,No,14
ORD000294,PROD5002,Pharmaceuticals,Peak,Wednesday,No,18
ORD005693,PROD8421,Electronics,Peak,Thursday,No,36
ORD005295,PROD5025,Furniture,Off-Peak,Thursday,No,14
ORD012441,PROD5831,Furniture,Normal,Thursday,No,37
ORD010670,PROD2402,Electronics,Normal,Thursday,No,28
ORD004597,PROD7906,Electronics,Off-Peak,Thursday,No,17
ORD012654,PROD8210,Furniture,Normal,Thursday,Yes,37
ORD005928,PROD5528,Electronics,Festival,Thursday,No,16
ORD012538,PROD8240,Groceries,Peak,Thursday,No,38
ORD014619,PROD3654,Electronics,Peak,Thursday,No,49
ORD012390,PROD5799,Pharmaceuticals,Off-Peak,Thursday,No,36
ORD001234,PROD3578,Groceries,Festival,Thursday,Yes,23
ORD009238,PROD9446,Groceries,Peak,Thursday,No,43
ORD005052,PROD9591,Groceries,Peak,Thursday,No,9
ORD009370,PROD7980,Pharmaceuticals,Festival,Thursday,No,17
ORD013282,PROD6245,Clothing,Normal,Thursday,No,10
ORD011804,PROD8243,Clothing,Off-Peak,Thursday,No,49
ORD000689,PROD2647,Pharmaceuticals,Normal,Thursday,Yes,42
ORD009106,PROD5055,Electronics,Normal,Thursday,No,19
ORD008267,PROD9451,Electronics,Off-Peak,Thursday,No,23
ORD011253,PROD8932,Clothing,Festival,Thursday,No,29
ORD013398,PROD7141,Furniture,Off-Peak,Thursday,No,7
ORD002972,PROD3938,Furniture,Peak,Thursday,No,39
ORD008792,PROD1050,Pharmaceuticals,Festival,Thursday,No,30
ORD000726,PROD5066,Furniture,Normal,Thursday,No,11
ORD002929,PROD8034,Clothing,Off-Peak,Thursday,No,42
ORD010556,PROD8970,Furniture,Festival,Thursday,Yes,31
ORD004863,PROD3521,Electronics,Off-Peak,Thursday,No,49
ORD011839,PROD2356,Electronics,Normal,Thursday,Yes,41
ORD013473,PROD9048,Clothing,Peak,Thursday,No,34
ORD002147,PROD8546,Pharmaceuticals,Peak,Thursday,Yes,23
ORD006353,PROD6346,Pharmaceuticals,Peak,Thursday,No,38
ORD003032,PROD3141,Clothing,Festival,Thursday,No,16
ORD006497,PROD5979,Pharmaceuticals,Peak,Thursday,No,26
ORD012766,PROD7998,Groceries,Festival,Thursday,Yes,24
ORD007576,PROD3064,Pharmaceuticals,Off-Peak,Thursday,Yes,18
ORD005049,PROD7266,Groceries,Peak,Thursday,Yes,3
ORD010249,PROD7126,Groceries,Normal,Thursday,Yes,35
ORD011282,PROD8698,Pharmaceuticals,Peak,Thursday,No,49
ORD001672,PROD5678,Electronics,Off-Peak,Thursday,No,34
ORD008702,PROD7993,Groceries,Festival,Thursday,Yes,20
ORD013485,PROD2461,Electronics,Off-Peak,Thursday,No,31
ORD009180,PROD2256,Pharmaceuticals,Off-Peak,Thursday,No,47
ORD004038,PROD9426,Groceries,Off-Peak,Thursday,No,24
ORD005307,PROD5989,Clothing,Festival,Thursday,No,9
ORD008295,PROD1380,Groceries,Peak,Thursday,No,42
ORD003553,PROD6873,Pharmaceuticals,Peak,Thursday,Yes,32
ORD003659,PROD3149,Pharmaceuticals,Festival,Thursday,Yes,23
ORD006559,PROD6761,Groceries,Festival,Thursday,No,12
ORD000788,PROD5102,Electronics,Festival,Thursday,No,4
ORD004492,PROD7757,Electronics,Normal,Thursday,No,47
ORD012979,PROD4519,Pharmaceuticals,Festival,Thursday,Yes,19
ORD011501,PROD6567,Furniture,Peak,Thursday,No,45
ORD006728,PROD3414,Groceries,Festival,Thursday,No,28
ORD000669,PROD7971,Electronics,Normal,Thursday,Yes,4
ORD010255,PROD5146,Furniture,Festival,Thursday,No,9
ORD000289,PROD9288,Clothing,Peak,Thursday,No,31
ORD005624,PROD4666,Furniture,Peak,Thursday,No,0
ORD008215,PROD9151,Pharmaceuticals,Festival,Thursday,No,3
ORD001138,PROD8504,Electronics,Normal,Thursday,No,20
ORD010220,PROD2506,Groceries,Festival,Thursday,No,41
ORD006041,PROD1604,Clothing,Peak,Thursday,Yes,6
ORD011810,PROD6381,Pharmaceuticals,Normal,Thursday,No,24
ORD008347,PROD4382,Groceries,Festival,Thursday,No,34
ORD000966,PROD5712,Pharmaceuticals,Off-Peak,Thursday,No,27
ORD000187,PROD4510,Furniture,Peak,Thursday,Yes,3
ORD014573,PROD5080,Electronics,Off-Peak,Thursday,No,35
ORD002870,PROD2195,Pharmaceuticals,Peak,Thursday,No,45
ORD009656,PROD2102,Pharmaceuticals,Peak,Thursday,No,47
ORD014413,PROD9884,Electronics,Festival,Thursday,No,12
ORD005018,PROD8542,Electronics,Normal,Thursday,No,47
ORD002998,PROD7718,Clothing,Normal,Thursday,No,37
ORD002678,PROD9898,Clothing,Off-Peak,Thursday,No,29
ORD014108,PROD6960,Pharmaceuticals,Festival,Thursday,No,3
ORD002874,PROD5295,Clothing,Off-Peak,Thursday,No,23
ORD000554,PROD5262,Clothing,Peak,Thursday,No,20
ORD014165,PROD1858,Clothing,Off-Peak,Thursday,Yes,41
ORD012809,PROD7232,Clothing,Normal,Thursday,No,6
ORD003149,PROD7363,Clothing,Normal,Thursday,No,29
ORD009786,PROD2274,Groceries,Off-Peak,Thursday,Yes,10
ORD001077,PROD8285,Furniture,Off-Peak,Thursday,No,38
ORD004029,PROD7248,Electronics,Off-Peak,Thursday,No,0
ORD003234,PROD4619,Groceries,Off-Peak,Thursday,No,21
ORD006024,PROD9748,Pharmaceuticals,Festival,Thursday,No,9
ORD008118,PROD3925,Clothing,Normal,Thursday,No,9
ORD000022,PROD8359,Groceries,Festival,Thursday,No,19
ORD002638,PROD9804,Groceries,Off-Peak,Thursday,No,47
ORD003193,PROD8831,Furniture,Festival,Thursday,No,31
ORD005234,PROD6221,Pharmaceuticals,Festival,Thursday,No,30
ORD007788,PROD2981,Clothing,Normal,Thursday,Yes,16
ORD001972,PROD3252,Groceries,Off-Peak,Thursday,No,14
ORD001218,PROD6567,Pharmaceuticals,Normal,Thursday,No,31
ORD004727,PROD3233,Electronics,Normal,Thursday,No,26
ORD004189,PROD1511,Clothing,Off-Peak,Thursday,Yes,37
ORD009876,PROD6789,Electronics,Festival,Thursday,No,9
ORD008004,PROD1914,Furniture,Festival,Thursday,No,20
ORD012594,PROD4493,Groceries,Peak,Thursday,No,16
ORD009283,PROD3651,Furniture,Normal,Thursday,Yes,3
ORD007380,PROD8765,Groceries,Festival,Thursday,No,27
ORD011283,PROD2654,Groceries,Off-Peak,Thursday,No,40
ORD000746,PROD2229,Clothing,Festival,Thursday,Yes,48
ORD013623,PROD8190,Furniture,Normal,Thursday,No,3
ORD006587,PROD6104,Pharmaceuticals,Off-Peak,Thursday,No,24
ORD012039,PROD8593,Pharmaceuticals,Peak,Thursday,No,30
ORD010492,PROD5513,Furniture,Festival,Thursday,No,29
ORD013842,PROD6023,Electronics,Off-Peak,Thursday,No,14
ORD001757,PROD9159,Furniture,Peak,Thursday,No,47
ORD014483,PROD2983,Groceries,Festival,Thursday,No,17
ORD013342,PROD2042,Groceries,Normal,Thursday,No,43
ORD001649,PROD8371,Pharmaceuticals,Off-Peak,Thursday,No,6
ORD012279,PROD5651,Furniture,Festival,Thursday,No,6
ORD011720,PROD6651,Pharmaceuticals,Normal,Thursday,No,0
ORD011589,PROD7657,Groceries,Normal,Thursday,No,20
ORD001128,PROD8344,Groceries,Peak,Thursday,No,48
ORD006220,PROD8114,Furniture,Peak,Thursday,No,12
ORD001874,PROD9721,Pharmaceuticals,Normal,Thursday,Yes,37
ORD005115,PROD4271,Pharmaceuticals,Off-Peak,Thursday,No,29
ORD005275,PROD3901,Furniture,Peak,Thursday,Yes,23
ORD006708,PROD3764,Electronics,Peak,Thursday,No,13
ORD003142,PROD6883,Pharmaceuticals,Festival,Thursday,Yes,33
ORD010619,PROD5828,Clothing,Off-Peak,Thursday,No,2
ORD003062,PROD2964,Electronics,Peak,Thursday,No,29
ORD010899,PROD3258,Pharmaceuticals,Festival,Thursday,No,34
ORD013154,PROD2924,Groceries,Festival,Thursday,No,17
ORD011691,PROD8583,Groceries,Peak,Thursday,No,43
ORD006801,PROD1739,Pharmaceuticals,Festival,Thursday,No,23
ORD014551,PROD5501,Electronics,Off-Peak,Thursday,No,0
ORD007403,PROD1606,Pharmaceuticals,Festival,Thursday,No,25
ORD012184,PROD1627,Electronics,Normal,Thursday,No,5
ORD009878,PROD2165,Electronics,Peak,Thursday,No,48
ORD011581,PROD2633,Clothing,Festival,Thursday,Yes,17
ORD010048,PROD3664,Groceries,Normal,Thursday,No,49
ORD007181,PROD1894,Electronics,Festival,Thursday,No,41
ORD002282,PROD6770,Clothing,Normal,Thursday,No,13
ORD001711,PROD2208,Furniture,Off-Peak,Thursday,No,1
ORD012448,PROD4734,Electronics,Festival,Thursday,No,5
ORD003992,PROD6285,Electronics,Normal,Thursday,No,43
ORD001329,PROD5193,Furniture,Normal,Thursday,No,27
ORD006444,PROD7462,Electronics,Festival,Thursday,No,14
ORD012058,PROD4852,Clothing,Off-Peak,Thursday,No,9
ORD001039,PROD7242,Groceries,Peak,Thursday,No,44
ORD009233,PROD4490,Pharmaceuticals,Festival,Thursday,Yes,14
ORD009953,PROD8046,Groceries,Off-Peak,Thursday,No,37
ORD003964,PROD8259,Pharmaceuticals,Festival,Thursday,No,27
ORD005527,PROD4311,Electronics,Peak,Thursday,No,37
ORD014879,PROD8154,Pharmaceuticals,Normal,Thursday,No,8
ORD009346,PROD9230,Pharmaceuticals,Festival,Thursday,No,29
ORD007519,PROD7101,Furniture,Normal,Thursday,No,21
ORD014427,PROD6627,Pharmaceuticals,Peak,Thursday,Yes,26
ORD004183,PROD4218,Furniture,Peak,Thursday,No,49
ORD014866,PROD2644,Electronics,Festival,Thursday,No,49
ORD000438,PROD4501,Electronics,Peak,Thursday,No,36
ORD007786,PROD5225,Electronics,Normal,Thursday,No,41
ORD013329,PROD5991,Furniture,Off-Peak,Thursday,Yes,26
ORD000874,PROD9318,Clothing,Off-Peak,Thursday,No,2
ORD014050,PROD4545,Clothing,Normal,Thursday,Yes,17
ORD007780,PROD7388,Furniture,Off-Peak,Thursday,Yes,4
ORD005380,PROD8239,Furniture,Off-Peak,Thursday,No,44
ORD010555,PROD5216,Clothing,Normal,Thursday,Yes,31
ORD013139,PROD8955,Electronics,Peak,Thursday,No,0
ORD001760,PROD5949,Pharmaceuticals,Festival,Thursday,No,39
ORD011958,PROD2713,Pharmaceuticals,Off-Peak,Thursday,No,22
ORD000246,PROD4566,Groceries,Peak,Thursday,No,32
ORD002258,PROD4328,Clothing,Off-Peak,Thursday,No,46
ORD009383,PROD5046,Groceries,Normal,Friday,No,6
ORD012440,PROD8206,Electronics,Off-Peak,Friday,No,43
ORD007865,PROD6381,Furniture,Peak,Friday,No,38
ORD001015,PROD9697,Clothing,Peak,Friday,No,8
ORD012207,PROD7131,Electronics,Peak,Friday,No,26
ORD013540,PROD7704,Groceries,Festival,Friday,No,26
ORD007929,PROD1378,Furniture,Off-Peak,Friday,No,46
ORD008979,PROD7619,Pharmaceuticals,Festival,Friday,No,45
ORD013545,PROD5556,Groceries,Normal,Friday,No,16
ORD000477,PROD8612,Groceries,Peak,Friday,No,45
ORD000805,PROD6700,Clothing,Normal,Friday,No,22
ORD009671,PROD7782,Groceries,Normal,Friday,No,47
ORD013563,PROD6363,Pharmaceuticals,Off-Peak,Friday,No,0
ORD011168,PROD5244,Groceries,Peak,Friday,No,15
ORD002201,PROD8758,Clothing,Peak,Friday,Yes,29
ORD012916,PROD8609,Pharmaceuticals,Normal,Friday,No,6
ORD007252,PROD7535,Electronics,Normal,Friday,No,22
ORD013722,PROD3315,Furniture,Off-Peak,Friday,No,24
ORD008600,PROD2280,Pharmaceuticals,Normal,Friday,No,13
ORD000213,PROD3296,Pharmaceuticals,Normal,Friday,No,35
ORD007043,PROD4278,Clothing,Normal,Friday,No,37
ORD000178,PROD4750,Clothing,Festival,Friday,No,26
ORD011369,PROD3766,Electronics,Peak,Friday,No,20
ORD000619,PROD3885,Groceries,Peak,Friday,No,42
ORD001256,PROD2816,Clothing,Off-Peak,Friday,No,17
ORD012071,PROD4460,Electronics,Peak,Friday,No,32
ORD005410,PROD6289,Groceries,Peak,Friday,No,10
ORD000048,PROD2139,Furniture,Peak,Friday,Yes,1
ORD000054,PROD2654,Groceries,Festival,Friday,Yes,27
ORD011038,PROD9870,Groceries,Peak,Friday,No,16
ORD003476,PROD9008,Furniture,Off-Peak,Friday,No,13
ORD000743,PROD3573,Furniture,Normal,Friday,No,7
ORD004527,PROD1108,Pharmaceuticals,Peak,Friday,No,2
ORD000718,PROD7565,Furniture,Normal,Friday,Yes,42
ORD004153,PROD8960,Clothing,Off-Peak,Friday,No,32
ORD014530,PROD8449,Pharmaceuticals,Off-Peak,Friday,No,10
